Id,Account_status,Salary,Internal_PD,External_PD,Loan_amount,Profit,Banking_with_bank,Months_on_book,External_utilisation,Internal_utilisation,Spend_percentage,Probability,Profit_score
11,In_order,240000.0,0.0511425462459194,0.2045454545454545,16900.0,-5.89,1,67.0,0.2413349780701754,0.750759,0.016166,0.3775782321540082,4.0
19,In_order,360000.0,0.0195865070729053,0.5397727272727273,36000.0,547.1,1,20.0,0.3707753558276102,0.616521,0.009537,0.4800962687403791,5.0
22,In_order,893532.0,0.1164309031556039,0.3579545454545454,79900.0,384.87,1,122.0,0.8661722080136403,0.842748,0.006621,0.3048417393434136,4.0
24,In_order,254376.0,0.4885745375408052,0.3238636363636363,20000.0,-509.66,1,18.0,0.3276660250240616,0.511176,0.136263,0.244923178477543,3.0
27,In_order,120000.0,0.0081610446137105,0.1477272727272727,23800.0,511.47,0,74.0,0.2414314516129032,0.287635,0.287312,0.5649527228839971,6.0
33,In_arrears,264000.0,0.3411316648531012,0.0511363636363636,126600.0,-7142.83,1,86.0,0.5877126392623896,0.836538,0.120033,0.3584145223986409,4.0
38,In_order,319608.0,0.0195865070729053,0.1761363636363636,60000.0,262.24,1,71.0,0.556708906589428,0.249643,0.042125,0.766860427567577,8.0
42,In_excess,174276.0,0.7138193688792164,0.6988636363636364,9000.0,1753.89,1,41.0,0.1698599875544492,0.882726,0.190361,0.6539309982326593,7.0
49,In_order,281652.0,0.1964091403699673,0.2727272727272727,35100.0,722.41,1,72.0,1.068971028971029,0.939143,0.026958,0.4235539756708238,5.0
59,In_order,72360.0,0.0478781284004352,0.3806818181818182,7500.0,160.09,1,117.0,0.2535307138904261,0.66504,0.030623,0.9973300826073788,10.0
64,In_order,1231212.0,0.1430903155603917,0.1988636363636363,110000.0,-522.46,1,15.0,1.1391041666666666,0.801966,0.131211,0.3655418807337837,4.0
69,In_order,95700.0,0.2410228509249183,0.7272727272727273,6000.0,988.85,1,21.0,0.4513271604938271,0.838743,0.040563,0.8952865034462035,9.0
72,In_order,277020.0,0.6915125136017409,0.5113636363636364,13500.0,224.63,0,24.0,0.4069422423556059,0.864989,0.176359,0.4686581677503713,5.0
73,In_order,489852.0,0.1131664853101196,0.4943181818181818,19000.0,555.38,0,49.0,0.22,0.875153,0.047879,0.564162407994937,6.0
78,In_order,1078392.0,0.0380848748639825,0.4204545454545454,50000.0,178.35,1,210.0,0.3526495842371656,0.397724,0.083334,0.4316897675660858,5.0
88,In_order,570000.0,0.0859630032644178,0.1477272727272727,50000.0,466.44,1,112.0,0.365773756660746,0.366594,0.046413,0.4966673600916892,5.0
112,In_order,233388.0,0.0,0.3352272727272727,14300.0,96.94,1,86.0,0.3634210526315789,0.67259,0.50017,0.432509375897698,5.0
113,In_order,300000.0,0.0859630032644178,0.4545454545454545,15870.0,410.14,1,165.0,0.3248336594911937,0.917622,0.194295,0.4979442279347903,5.0
116,In_order,180000.0,0.0511425462459194,0.1534090909090909,31800.0,288.53,0,40.0,1.0198698078115314,0.861495,0.130538,0.468568901745295,5.0
117,In_order,326364.0,0.4347116430903155,0.7386363636363636,5000.0,1078.17,1,15.0,0.1599038461538461,0.814892,0.136104,0.8804584397157573,9.0
133,In_order,329112.0,1.0,0.4545454545454545,47500.0,-7645.62,1,28.0,0.4297628059550845,0.939014,0.033088,0.1892615818360955,2.0
139,In_order,365616.0,0.2132752992383024,0.0625,50000.0,249.77,1,36.0,0.7249434889434889,0.58416,0.058927,0.4012525801477404,5.0
143,In_order,171336.0,0.0,0.2386363636363636,15000.0,126.0,0,115.0,0.8191581027667985,0.573247,0.123446,0.5242030790843147,6.0
144,In_order,390000.0,0.1583242655059847,0.3409090909090909,33500.0,565.87,0,57.0,0.4530355503082776,0.893927,0.447589,0.4571552535620377,5.0
157,In_order,163560.0,0.0310119695321001,0.5852272727272727,8750.0,268.4,1,50.0,0.3087365177195685,0.92704,0.151899,0.6192297192900355,7.0
161,In_order,423792.0,0.0418933623503808,0.6306818181818182,30000.0,457.0,1,13.0,0.2823957543593631,0.479878,0.292838,0.5896748929019153,6.0
166,In_order,204000.0,0.0859630032644178,0.625,12900.0,421.53,1,130.0,0.2957922077922078,0.896228,0.42066,0.5555935141316446,6.0
171,In_order,210000.0,0.0038084874863982,0.1420454545454545,24500.0,348.63,1,210.0,0.55342642107348,0.789246,0.05062,0.2396171588997122,3.0
186,In_order,642000.0,0.0571273122959738,0.6022727272727273,25300.0,403.39,0,17.0,0.1192338709677419,0.540501,0.366322,0.673390346670299,7.0
199,In_arrears,240000.0,0.1164309031556039,0.2045454545454545,67600.0,-1292.08,1,140.0,1.1071971496437054,0.527352,0.158656,0.1782491614404948,2.0
200,In_order,450012.0,0.1838955386289444,0.4772727272727273,48500.0,778.88,0,18.0,0.8672202591283863,0.850675,0.31321,0.4863647569827816,5.0
209,In_order,97800.0,0.2752992383025027,0.3125,10000.0,-96.72,0,20.0,0.6116450216450217,0.850642,0.110266,0.6575957014750251,7.0
215,In_order,144000.0,0.0859630032644178,0.25,13700.0,48.36,1,162.0,0.8136834733893558,0.965466,0.266097,0.4997614494369872,5.0
226,In_order,492000.0,0.0092491838955386,0.1875,75000.0,-705.46,1,64.0,0.1650395647873392,0.231498,0.156222,0.1623476430954294,2.0
267,In_order,65448.0,0.5935799782372143,0.3636363636363636,6000.0,108.27,1,15.0,0.4597592592592592,0.713125,0.20296,0.6114874765771834,7.0
269,In_order,312000.0,0.1430903155603917,0.3863636363636363,25000.0,-193.24,0,49.0,0.5874640371229698,0.263447,0.032603,0.3428013389935115,4.0
273,In_order,902400.0,0.1430903155603917,0.3465909090909091,12400.0,148.86,0,16.0,0.1470021567217828,0.607417,0.212638,0.4262485547831619,5.0
278,In_order,601800.0,0.0038084874863982,0.4375,94300.0,490.12,1,317.0,0.6391798072711344,0.921688,0.00211,0.3353590429438676,4.0
297,In_order,540000.0,0.0380848748639825,0.1647727272727272,97800.0,437.78,1,54.0,0.3871783142736129,0.259308,0.246713,0.842583710148437,9.0
300,In_order,245988.0,0.0418933623503808,0.3806818181818182,6100.0,316.41,1,15.0,0.2766887417218543,0.552605,0.39363,0.8013335320668117,9.0
308,In_order,1115112.0,0.0418933623503808,0.3238636363636363,150000.0,671.91,1,16.0,0.3235056789286319,0.218421,0.083508,0.6515669876222403,7.0
317,In_order,304968.0,0.0511425462459194,0.5284090909090909,54000.0,421.38,1,23.0,0.7400456360524814,0.637474,0.096602,0.4760912868106049,5.0
